Orden,Suborden,Propiedad,Denominacion,NaturalezaJuridica,Uso,Destino,Superficie,ReferenciaCatastral,Tipo
31,-,1242,APARCAMIENTO EN STO. DOMINGO,Patrimonial,Patrimoniales,Locales,1223.0 m2,4068602WK7336F0001MO,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
32,-,1251,DEPOSITOS AGUA EN EL CASTILLO,Dominio Público,Uso Público,Infraestructuras Hidráulicas,680.0 m2,16900A047000050000ZK,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
33,-,1.354 y 1.441,16 APARTAMENTOS EN C/ COLMILLO. 8 Y LOCALES,Patrimonial,Patrimoniales,Locales,0.0 m2,4370401WK7346G0005RE::4370401WK7346G0003WQ::4370401WK7346G0004EW::4370401WK7346G0006TR::4370401WK7346G0008UY::4370401WK7346G00013OI::4370401WK7346G0011UY::4370401WK7346G0012IU::4370401WK7346G0014PO::4370401WK7346G0017DS::4370401WK734G0015AP::4370401WK7346G0016SA::4370401WK7346G0018FD::4370401WK7346G0009IU::4370401WK7346G0010YT::4370401WK7346G0007YT::4370401WK7346G0001MX,DESCONOCIDO
34,-,1442,LOCAL EN AVDA. MEDITERRÁNEO. 10,Dominio Público,Servicio Público,Otros,151.38 m2,4449001WK7344G0006DH,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
35,-,1664,APARCAMIENTO CALLE SAN PEDRO. EDIF. DEPÓSITOS,Dominio Público,Servicio Público,Aparcamientos Públicos,4.4 m2,4472005WK7347A0001XI,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
36,-,1499,CASA EN SAN LÁZARO. Nº 35,Patrimonial,Patrimoniales,Locales,28.0 m2,3571708WK7337A0001TR::3571707WK7337A0001LR::3571709WK7337A0001FR::3571701WK7337A0001AR::3571711WK7337A0001TR::3571710WK7337A0001LR,DESCONOCIDO
37,A,1515,TORREÓN ANTIGUA MURALLA C/ TINTES,Patrimonial,Patrimoniales,Locales,0.0 m2,SIN REF. CATASTRAL::SIN REF. CATASTRAL::SIN REF. CATASTRAL::4472803WK7347D0001DS,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
38,-,78,ALBERGUE DE TRANSEÚNTES,Dominio Público,Servicio Público,Otros,143.6 m2,3768019WK7336H0001PR,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
39,-,82,EDIFICIO EN C/ SAN LÁZARO. 2,Patrimonial,Patrimoniales,Dependencias parroquiales. local de negocio y RACAL,431.15 m2,3770106WK7337B0001AD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
40,-,198,EDIFICIO EN C/ PRINCESA ZAIDA. 1,Patrimonial,Patrimoniales,Viviendas,226.5 m2,3667801WK7336D0002EG::3667801WK7336D0004TJ::3667801WK7336D0005YK::3667801WK7336D0006UL::3667801WK7336D0007IB::3667801WK7336D0009PX::3667801WK7336D0010IB::3667801WK7336D0013AM::3667801WK7336D0011OZ::3667801WK7336D0012PX,DESCONOCIDO
41,-,199,LOCALES (4) EN MARTÍNEZ KLEISSER,Dominio Público,Servicio Público,Servicio Aguas,265.0 m2,3664801WK7336D0032OD::3664801WK7336D0041GL::3664801WK7336D0042HB::3664801WK7336D0052MR,DESCONOCIDO
42,-,202,LOCAL EN MARTÍNEZ KLEISSER,Patrimonial,Patrimoniales,Locales,76.97 m2,3664801WK7336D0051XE,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
43,-,48,PLAYA ARTIFICIAL,Dominio Público,Servicio Público,Centros Ocio,31057.21 m2,DI0600700WK73G0001TE::SIN REF. CATASTRAL::SIN REF. CATASTRAL,DESCONOCIDO
44,-,290,MERCADO MUNICIPAL,Dominio Público,Servicio Público,Mercados. Consumo,1062.5 m2,3866301WK7336F0001UO,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
45,-,291,POLIDEPORTIVO MUNC. SARGAL,Dominio Público,Servicio Público,Centros Deportivos,6502.65 m2,3467001WK7336E0001OM,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
46,-,343,CASA EN SAN LÁZARO 'F'. 11 (ACTUAL 25 SEGÚN INFORME DE LA GERENCIA: ARMANDO),Patrimonial,Patrimoniales,Viviendas,0.0 m2,3571105WK7337B0001MD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
47,-,70,IGLESIA DE SAN ANTÓN,Patrimonial,Patrimoniales,Locales,475.55 m2,3770107WK7337B0001BD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
48,-,71,CASA S. LÁZARO 'A' (PARTE DE PLAZA PÚBLICA SOBRE APARCAMIENTO DE SAN ANTÓN),Patrimonial,Patrimoniales,Viviendas,149.49 m2,3770106WK7337B0001AD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
49,-,97,APARCAMIENTO EN SAN ANTÓN,Patrimonial,Patrimoniales,Locales,1074.15 m2,3770106WK7337B0001AD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
50,-,168,CASA EN C/ HOSPITALILLO. 11,Patrimonial,Patrimoniales,Viviendas,95.75 m2,3672603WK7337B0001XD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
51,-,391,TERRENO EN LA FUENSANTA (COSSIO),Patrimonial,Patrimoniales,Solares,9785.0 m2,3070001WK7336G0001KK,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
52,-,72 y 392,CEMENTERIO MUNICIPAL,Dominio Público,Servicio Público,Cementerio,48554.0 m2,16900A084000250000ZD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
53,-,172,POZO CEMENTERIO MUNC.,Dominio Público,Uso Público,Infraestructuras Hidráulicas,3.32 m2,16900A044000200001XO16900A044000200000ZI,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
54,-,209,RÚSTICA EN EL ARENAL POLÍGONO 83 PARCELA 8,Patrimonial,Patrimoniales,Parcelas Rústicas,18858.75 m2,16900A083000080000ZF,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
55,-,81,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,1750.0 m2,SIN REF. CATASTRAL,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
56,-,99,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,440.0 m2,SIN REF. CATASTRAL,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
57,-,214,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,2576.0 m2,3167006WK7336E0001OM3167007WK7336C0001KT3167009WK7336C0001DT,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
58,-,215,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,6655.0 m2,3167006WK7336E0001OM3167007WK7336C0001KT3167009WK7336C0001DT,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
59,-,279,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,6500.0 m2,3167006WK7336E0001OM3167007WK7336C0001KT3167009WK7336C0001DT,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
60,-,347,TERRENO EN LA GUINDALERA IES LORENZO HERVÁS,Patrimonial,Patrimoniales,Solares,9742.4 m2,3167005WK7336E0001MM,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
61,-,387,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,1999.35 m2,3167005WK7336E0001MM,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
62,-,838,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,227.71 m2,3167005WK7336E0001MM,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
63,-,839,TERRENO LA GUINDALERA (PRESA CERDÁN),Patrimonial,Patrimoniales,Solares,80.0 m2,3268201WK7336G0001GK,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
64,-,432,TERRENO EN LA GUINDALERA,Patrimonial,Patrimoniales,Solares,777.38 m2,3167005WK7336E0001MM,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
65,-,197,URBANA EN BUENAVISTA (SAN TADEO),Patrimonial,Patrimoniales,Solares,258.09 m2,2965009WK7326D0001KP,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
66,-,1205,TERRENOS PASARELA S/. EL JÚCAR,Dominio Público,Uso Público,Obras Públicas,5396.4 m2,3161521WK7336A0001AP::3161505WK7336A0001DP,DESCONOCIDO
67,-,386,CENTRO PENITENCIARIO. GUIJERA.,Patrimonial,Patrimoniales,Solares,10000.0 m2,DI0900600WK63F0001AD,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
68,-,1519,TÚNEL DE C/ ALFONSO VIII,Dominio Público,Servicio Público,Centros Turismo,210.75 m2,SIN REF. CATASTRAL,EDIFICIOS SOLARES Y EDIFICACIONES EN EL CASCO ANTIGUO
69,-,104,ALMACENES MUNICIPALES,Dominio Público,Servicio Público,Almacenes,1729.2 m2,3556701WK7335E0001SY,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
70,-,119,EDIF.  SERV. RECAUDACIÓN PROV.,Patrimonial,Patrimoniales,Locales,717.2 m2,4063801WK7336C0001BT,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
71,-,217,EDIFICIO EN C/ CAMINO CAÑETE. 35,Patrimonial,Patrimoniales,Viviendas,693.8 m2,4158007WK7345G0001QT::4158007WK7345G0002WY::4158007WK7345G0003EU::4158007WK7345G0004RI::4158007WK7345G0005TO::4158007WK7345G0006YP::4158007WK7345G0007UA::4158007WK7345G0008IS,DESCONOCIDO
72,-,109,ESCUELA DE TIRADORES,Dominio Público,Servicio Público,Centros Sociales,404.6 m2,4265116WK7346E0001WR,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
73,-,216,AGRUPACIÓN ESCOLAR 'LA PAZ',Dominio Público,Servicio Público,Centros Educativos,7727.55 m2,4057001WK7345E0001LP,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
74,-,218 y 357,AGRUPACIÓN ESCOLAR 'CASABLANCA',Dominio Público,Servicio Público,Centros Educativos,3067.0 m2,3657011WK7335F0001ZG,EDIFICIOS. SOLARES E INSTALACIONES EN EL RESTO DEL CASCO URBANO
